Participation,31,=31/91
Activity,10,=10/91
Attachment,4,=4/91
FunctionalComponent,28,=28/91
Implementation,1,=1/91
Association,2,=2/91
GenericLocation,38,=38/91
GenericTopLevel,9,=9/91
Component,541,=541/91
VariableComponent,0,=0/91
Agent,9,=9/91
MapsTo,9,=9/91
Usage,5,=5/91
Cut,3,=3/91
Interaction,22,=22/91
SequenceAnnotation,620,=620/91
Sequence,4669,=4669/91
Plan,2,=2/91
Range,777,=777/91
Annotation,93,=93/91
CombinatorialDerivation,0,=0/91
ModuleDefinition,22,=22/91
SequenceConstraint,29,=29/91
Model,7,=7/91
Collection,41,=41/91
Module,8,=8/91
ComponentDefinition,4756,=4756/91
